Key	Type	Desc	English	Swedish
BiomeNames/Stone	Text		The Forgotten Ruins	TODO
BreastVanitySlot	Text		Chest vanity slot	TODO
CageCattle	Text		Capture a cattle	TODO
CanBePutIntoEnemySpawnerPlatform	Text	Shown when hovering the slot for Enemy spawners that must contain a figurine to spawn the corresponding enemy of that figurine	Figurine slot	TODO
CanBePutIntoEnemySpawnerPlatformDesc	Text		Putting a non-boss figurine in the slot and powering the Materializer with electricity will create a clone of the enemy represented by the figurine.	TODO
CardinalDirections/East	Text		east	TODO
CardinalDirections/North	Text		north	TODO
CardinalDirections/NorthEast	Text		north east	TODO
CardinalDirections/NorthWest	Text		north west	TODO
CardinalDirections/South	Text		south	TODO
CardinalDirections/SouthEast	Text		south east	TODO
CardinalDirections/SouthWest	Text		south west	TODO
CardinalDirections/Undefined	Text		undefined	TODO
CardinalDirections/West	Text		west	TODO
CasualMode	Text		Casual	TODO
CasualModeDesc	Text		Encounter gentler monsters in a relaxed, enjoyable setting.	TODO
CattleStatus/Full	Text		The animal is very happy, full and producing.	TODO
CattleStatus/FullBaby	Text		The young animal is very happy and full.	TODO
CattleStatus/HungryCattleKelpFood	Text		The animal is hungry for kelp.	TODO
CattleStatus/HungryCattlePlantFood	Text		The animal is hungry for crops.	TODO
CattleStatus/HungryInsect	Text		The animal is hungry for small insects.	TODO
CattleStatus/MediumHungry	Text		The animal is happy, fairly full and producing.	TODO
CattleStatus/MediumHungryBaby	Text		The young animal is happy and fairly full.	TODO
CattleStatus/NameFull	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is very happy, full and producing.	TODO
CattleStatus/NameFullBaby	Text		{0} is very happy and full.	TODO
CattleStatus/NameHungryCattleKelpFood	Text		{0} is hungry for kelp.	TODO
CattleStatus/NameHungryCattlePlantFood	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is hungry for crops.	TODO
CattleStatus/NameHungryInsect	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is hungry for small insects.	TODO
CattleStatus/NameMediumHungry	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is happy, fairly full and producing.	TODO
CattleStatus/NameMediumHungryBaby	Text		{0} is happy and fairly full.	TODO
ClassicMode	Text		Classic	TODO
ClassicModeDesc	Text		Support for classic worlds will cease to continue and most 1.0 content will not be accessible. It is strongly recommended to start a world using other modes.	TODO
CombineMaterials	Text		Combine the materials	TODO
ConditionEffect/ApplyBurning	Text		{0} burn damage	TODO
ConditionEffect/ApplyDamageEverySecond	Text		{0} damage every sec	TODO
ConditionEffect/ApplyPoisoned	Text		Poisonous, reduces healing received by 75%	TODO
ConditionEffect/ApplySlowedBySlime	Text		Reduces the target's movement speed by {0}% for 4 sec	TODO
ConditionEffect/Armor	Text		{0} armor	TODO
ConditionEffect/ArmorPercentage	Text		{0}% armor	TODO
ConditionEffect/ChanceOnHitToKnockback	Text		{0}% knockback chance	TODO
ConditionEffect/ChanceToGainExtraCookedFood	Text		{0}% extra cooked food chance	TODO
ConditionEffect/CritChance	Text		{0}% critical hit chance	TODO
ConditionEffect/CriticalDamagePercentage	Text		{0}% critical hit damage	TODO
ConditionEffect/DamageEverySecond	Text		{0} damage every sec	TODO
ConditionEffect/DamageEveryThirdSecond	Text		{0} damage every third sec	TODO
ConditionEffect/DodgeChance	Text		{0}% dodge chance	TODO
ConditionEffect/ExplosivesDamage	Text		{0}% explosives damage	TODO
ConditionEffect/Fishing	Text		{0} fishing	TODO
ConditionEffect/Glowing	Text		{0} glow	TODO
ConditionEffect/HarvestChance	Text		{0}% larger harvests	TODO
ConditionEffect/HealOverTime	Text		{0} health every sec	TODO
ConditionEffect/Health	Text		{0} health	TODO
ConditionEffect/Hunger	Text		{0} food	TODO
ConditionEffect/ImmuneToSlimeSlow	Text		Immune to being slowed by slime	TODO
ConditionEffect/LifeOnHit	Text		{0} life on melee hit	TODO
ConditionEffect/MagicBarrier	Text		{0} magic barrier	TODO
ConditionEffect/ManaRegen	Text		{0} mana every sec	TODO
ConditionEffect/MaxHealth	Text		{0} max health	TODO
ConditionEffect/MaxMana	Text		{0} max mana	TODO
ConditionEffect/MaxMinions	Text		{0} max minion count	TODO
ConditionEffect/MeleeAttackSpeed	Text		{0}% melee speed	TODO
ConditionEffect/MeleeDamage	Text		{0}% melee damage	TODO
ConditionEffect/Mining	Text		{0} mining damage	TODO
ConditionEffect/MiningSpeed	Text		{0}% mining speed	TODO
ConditionEffect/MinionAttackSpeed	Text		{0}% minion attack speed	TODO
ConditionEffect/MinionCritChance	Text		{0}% minion critical hit chance	TODO
ConditionEffect/MinionDamage	Text		{0} minion damage	TODO
ConditionEffect/MinionDamagePercentage	Text		{0}% minion damage	TODO
ConditionEffect/MinionLifespan	Text		{0}% minion lifespan	TODO
ConditionEffect/MovementSpeed	Text		{0}% movement speed	TODO
ConditionEffect/PhysicalMeleeDamage	Text		{0}% physical melee damage	TODO
ConditionEffect/PhysicalRangeDamage	Text		{0}% physical range damage	TODO
ConditionEffect/Poisoned	Text		75% reduced healing received	TODO
ConditionEffect/RangeAttackSpeed	Text		{0}% range speed	TODO
ConditionEffect/RangeDamage	Text		{0}% range damage	TODO
ConditionEffect/ReducedDamageFromBosses	Text		{0}% boss damage reduction	TODO
ConditionEffect/ThornsDamage	Text		{0} thorns damage	TODO
ConditionEffectDesc/ApplyBurning	Text		Applies burning to enemies you deal damage to. The burning effect damages the enemy every other second for {0} damage.	TODO
ConditionEffectDesc/Armor	Text		Reduces damage taken up to a maximum of {0} damage. Enemies always deal a minimum 25% of their damage.	TODO
ConditionEffectDesc/ChanceOnHitToKnockback	Text		Melee attacks have a {0}% chance to knockback enemies.	TODO
ConditionEffectDesc/ChanceToGainExtraCookedFood	Text		Grabbing cooked food from the cooking pot has a {0}% chance to gain an additional cooked food per cooked food grabbed.	TODO
ConditionEffectDesc/CritChance	Text		Attacks have a {0}% chance to deal 50% extra damage.	TODO
ConditionEffectDesc/CriticalDamagePercentage	Text		Deal {0}% more damage on critical hits. Base critical hit damage is 50%.	TODO
ConditionEffectDesc/DodgeChance	Text		{0}% chance to dodge any attack. Maximum dodge chance is 90%.	TODO
ConditionEffectDesc/ExplosivesDamage	Text		Explosives deal {0}% more damage.	TODO
ConditionEffectDesc/Fishing	Text		A higher fishing allows catching fish in higher level areas while also reducing the time for fish to bite in lower level areas.	TODO
ConditionEffectDesc/Glowing	Text		Produces a glow reaching up to {0} tiles away.	TODO
ConditionEffectDesc/HarvestChance	Text		When harvesting, you gain on average {0}% extra plants.	TODO
ConditionEffectDesc/HealOverTime	Text		Gains {0} health every second.	TODO
ConditionEffectDesc/LifeOnHit	Text		Gains {0} health when hitting an enemy with a melee attack.	TODO
ConditionEffectDesc/MagicBarrier	Text		Absorbs up to {0} damage taken. The magic barrier regenerates itself after not taking damage for a while.	TODO
ConditionEffectDesc/ManaRegen	Text		Gains {0} mana every second. Base mana regeneration is 10.0 mana every second.	TODO
ConditionEffectDesc/MaxHealth	Text		Maximum amount of health is {0}.	TODO
ConditionEffectDesc/MaxMana	Text		Maximum amount of mana is {0}.	TODO
ConditionEffectDesc/MaxMinions	Text		You can have up to {0} summoned minions.	TODO
ConditionEffectDesc/MeleeAttackSpeed	Text		You hit {0}% faster with melee weapons.	TODO
ConditionEffectDesc/MeleeDamage	Text		Melee attacks deal {0}.	TODO
ConditionEffectDesc/MeleeDamageFormat	Text	{0} is replaced with the values and type of damage, i.e physical or magic. So for example:Melee attacks deal 12-15 magic damage.	Melee attacks deal {0}.	TODO
ConditionEffectDesc/Mining	Text		Deals {0} damage to walls and objects that require mining to be destroyed.	TODO
ConditionEffectDesc/MiningSpeed	Text		You hit {0}% faster with pickaxes.	TODO
ConditionEffectDesc/MinionAttackSpeed	Text		Minions attack {0}% faster.	TODO
ConditionEffectDesc/MinionCritChance	Text		Minion attacks have a {0}% chance to deal 50% extra damage.	TODO
ConditionEffectDesc/MinionDamagePercentage	Text		Minions deal {0}% more damage.	TODO
ConditionEffectDesc/MinionLifespan	Text		Minions last for {0}% longer before despawning.	TODO
ConditionEffectDesc/MovementSpeed	Text		Moves at {0}% of base movement speed.	TODO
ConditionEffectDesc/RangeAttackSpeed	Text		You shoot {0}% faster with range weapons.	TODO
ConditionEffectDesc/RangeDamage	Text		Ranged attacks deal {0}.	TODO
ConditionEffectDesc/RangeDamageFormat	Text		Range attacks deal {0}.	TODO
ConditionEffectDesc/ReducedDamageFromBosses	Text		Reduces damage taken from bosses by {0}%.	TODO
ConditionEffectDesc/ThornsDamage	Text		Melee attackers take {0} damage when attacking.	TODO
Conditions/AcidDamage	Text		{0} acid damage every sec, ignores armor	TODO
Conditions/AdditionalChanceOnCritToSpawnThunderBeam	Text		{0}% additional chance to trigger Azeos' soul power	TODO
Conditions/AdditionalChanceOnHitToSpawnScarabBossProjectile	Text		{0}% additional chance to trigger Ra-Akar's soul power	TODO
Conditions/AdditionalChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% additional chance to trigger Omoroth's soul power	TODO
Conditions/AllDamageIncrease	Text		{0}% damage	TODO
Conditions/ApplyBurning	Text		{0} burn damage applied on hit	TODO
Conditions/ApplyPetAttackSpeedIncrease	Text		{0}% attack speed for your pet	TODO
Conditions/ApplyPetBuffsIncrease	Text		{0}% effectiveness of your pets talent effects	TODO
Conditions/ApplyPetCritChanceIncrease	Text		{0}% critical hit chance for your pet	TODO
Conditions/ApplyPetCritDamageIncrease	Text		{0}% critical hit damage for your pet	TODO
Conditions/ApplyPetDamageIncrease	Text		{0}% damage dealt by your pet	TODO
Conditions/ApplySlipperyMovementWhenHit	Text		Melee attackers become slippery when attacking you	TODO
Conditions/ApplySlowedBySlime	Text		Reduces the target's movement speed by {0}% for 4 sec	TODO
Conditions/ApplySnare	Text		Ensnare	TODO
Conditions/ArmorIncrease	Text	Text shown on gear stat or buff, for example '+45 armor' where {0} is replaced with the number	{0} armor	TODO
Conditions/ArmorIncreaseFromMovementSpeed	Text		{0}% armor of current movement speed increase	TODO
Conditions/ArmorPercentageIncrease	Text		{0}% armor	TODO
Conditions/AttackSpeed	Text		{0}% melee and range attack speed	TODO
Conditions/AuraApplyBurning	Text		All nearby enemies burn for {0} damage every other sec	TODO
Conditions/AuraApplyDamageDecrease	Text		{0}% damage dealt by all nearby enemies	TODO
Conditions/AuraApplyDamageIncrease	Text		{0}% damage dealt by you and all nearby allies	TODO
Conditions/AuraApplyHealingOverTime	Text		{0} health every sec to you and all nearby allies	TODO
Conditions/AuraApplyMovementSpeedDecrease	Text		Any nearby enemies movement speed is reduced by {0}%	TODO
Conditions/AuraApplyRadioactiveDamageOverTime	Text		All nearby enemies take {0} radioactive damage every other sec	TODO
Conditions/AuraMovementSpeedDecrease	Text		{0}% movement speed from a nearby aura	TODO
Conditions/AuraRadioactiveDamageOverTime	Text		{0} radioactive damage every other sec	TODO
Conditions/AuraVoidDamagePercentageOverTime	Text		{0}% of health as void damage every  sec	TODO
Conditions/BlueGlow	Text	Description for items that make player glow when eating it. For example '+5 glow' where +5 refers to the intensity/range of the light	{0} blue glow	TODO
Conditions/Burning	Text		{0} burn damage every other sec	TODO
Conditions/ChanceForAdditionalOre	Text		{0}% chance to gain an additional ore from walls containing ores	TODO
Conditions/ChanceForExtraCookedFoodToBeRare	Text		{0}% chance for additional food gained from cooking to be rare	TODO
Conditions/ChanceForOreOnMiningWall	Text		{0}% chance to gain an ore that is common in the currently mined wall when destroying the wall	TODO
Conditions/ChanceForPolishedJewelry	Text		{0}% chance to gain a polished version of any item crafted at the jewelry workbench	TODO
Conditions/ChanceForRandomLootFromWall	Text		{0}% chance to drop a valuable item from any mined wall	TODO
Conditions/ChanceOnCritToSpawnThunderBeam	Text		{0}% chance to spawn a thunder beam on melee critical hits	TODO
Conditions/ChanceOnHitToApplySlipperyMovement	Text		{0}% chance on hit to apply slippery movement	TODO
Conditions/ChanceOnHitToGainMeleeAttackSpeed	Text		{0}% chance on melee hit to increase melee attack speed by 50% for a short duration	TODO
Conditions/ChanceOnHitToIncreaseRangeDamage	Text		{0}% chance on melee hit to increase range damage by 30%	TODO
Conditions/ChanceOnHitToKillTargetWithLowerHealth	Text		{0}% chance on hit to kill any target that has lower health than you	TODO
Conditions/ChanceOnHitToKnockback	Text		{0}% knockback chance	TODO
Conditions/ChanceOnHitToSpawnScarabBossProjectile	Text		{0}% chance on melee or range hit to spawn an ancient projectile that follows the hit target and deals damage on impact	TODO
Conditions/ChanceOnKillToSummonGhost	Text		{0}% chance to summon a ghost caveling when killing any enemy	TODO
Conditions/ChanceOnMeleeHitToStun	Text		{0}% chance to stun targets on melee hit	TODO
Conditions/ChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% chance on range hit to spawn a tornado	TODO
Conditions/ChanceOnRangeShotToApplySlowedBySlime	Text		20% chance to slow down target by {0}% on ranged hit	TODO
Conditions/ChanceOnRangeShotToStun	Text		{0}% chance to stun targets on ranged hit	TODO
Conditions/ChanceOnShotToGainCriticalHitChance	Text		{0}% chance on ranged hit to increase critical hit chance by 100% for a short duration	TODO
Conditions/ChanceOnShotToIncreaseMeleeDamage	Text		{0}% chance on ranged hit to increase melee damage by 30%	TODO
Conditions/ChanceToAddRandomConditionOnHit	Text		High chance to apply a random condition on hit	TODO
Conditions/ChanceToApplyCharmed	Text		Charm the target for 20 sec	TODO
Conditions/ChanceToApplyPoisonOnBlock	Text		{0}% chance to apply poison when blocking melee hits, reduces enemy healing received by 75%	TODO
Conditions/ChanceToApplyPoisoned	Text		{0}% chance to apply poison on hit, reduces enemy healing received by 75%	TODO
Conditions/ChanceToConsumeBurning	Text		{0}% chance on hit to consume target's burning effect and deal the total burning damage immediately	TODO
Conditions/ChanceToDealTripleDamage	Text		{0}% chance on hit to deal triple amount of damage	TODO
Conditions/ChanceToGainExtraCookedFood	Text		{0}% extra cooked food chance	TODO
Conditions/ChanceToGainExtraItemFromAlchemy	Text		{0}% chance to gain an extra item when crafting any item at the alchemy table or distillery	TODO
Conditions/ChanceToGainExtraItemFromBaseBuilding	Text		{0}% chance to gain an extra item when crafting any wall, floor, bridge or fence	TODO
Conditions/ChanceToGainRarePlant	Text		{0}% chance that plants planted by you become golden	TODO
Conditions/ChanceToGetDoubleFish	Text		{0}% chance to get double fish when catching a fish	TODO
Conditions/ChanceToNotConsumeWaterCan	Text		{0}% chance to not consume water when using water can	TODO
Conditions/ChanceToPreserveBait	Text		{0}% chance bait will not be consumed when catching a fish	TODO
Conditions/ChanceToRestoreHealthOnMeleeHit	Text		10% chance on melee hit to restore {0}% health	TODO
Conditions/ChanceToShootShockWaveOnBlock	Text		{0}% chance on block to release energy shockwaves dealing damage equal to what was blocked	TODO
Conditions/CheatDeath	Text		{0}% chance to restore a bit of health instead of dying when taking lethal damage	TODO
Conditions/CritChance	Text		{0}% critical hit chance	TODO
Conditions/CritDamageIncreaseAgainstBurning	Text		{0}% critical hit damage against burning targets	TODO
Conditions/CriticalDamagePercentageIncrease	Text		{0}% critical hit damage	TODO
Conditions/DamageIncreaseAgainstBurning	Text		{0}% damage against burning targets	TODO
Conditions/DamageIncreaseAgainstPoisoned	Text		{0}% damage against poisoned targets	TODO
Conditions/DamageIncreaseAgainstStunned	Text		{0}% damage against stunned targets	TODO
Conditions/DamageIncreaseFromRunning	Text		{0}% damage from running	TODO
Conditions/DealAoeFireDamageOnBlock	Text		Deals {0} damage to all nearby enemies when blocking with the shield	TODO
Conditions/DiggingIncrease	Text		{0} digging damage	TODO
Conditions/DodgeChance	Text		{0}% dodge chance	TODO
