Key	Type	Desc	English	Swedish
AchievementsLockedDescription/GainOver200MovementSpeed	Text		Gain over 200% movement speed	
AchievementsLockedDescription/HarvestGoldenIngredient	Text		Harvest a golden plant	
AchievementsLockedDescription/KeyArtCharacter	Text		Dress like a character from the official illustrations	
AchievementsLockedDescription/MaxedOutCooking	Text		Gain 100 skill points in cooking	
AchievementsLockedDescription/MaxedOutCrafting	Text		Gain 100 skill points in crafting	
AchievementsLockedDescription/MaxedOutFishing	Text		Gain 100 skill points in fishing	
AchievementsLockedDescription/MaxedOutGardening	Text		Gain 100 skill points in gardening	
AchievementsLockedDescription/MaxedOutMagic	Text		Gain 100 skill points in magic	
AchievementsLockedDescription/MaxedOutMelee	Text		Gain 100 skill points in melee	
AchievementsLockedDescription/MaxedOutMining	Text		Gain 100 skill points in mining	
AchievementsLockedDescription/MaxedOutRange	Text		Gain 100 skill points in range	
AchievementsLockedDescription/MaxedOutRunning	Text		Gain 100 skill points in running	
AchievementsLockedDescription/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Gain 100 skill points in summoning	
AchievementsLockedDescription/MaxedOutVitality	Text		Gain 100 skill points in vitality	
AchievementsLockedDescription/ObtainPhantomSpark	Text		Obtain Phantom Spark	
AchievementsLockedDescription/ObtainRuneSong	Text		Obtain Rune Song	
AchievementsLockedDescription/ObtainSoulSeeker	Text		Obtain Soul Seeker	
AchievementsLockedDescription/ObtainTheOracleDeck	Text		Obtain the Oracle Card deck	
AchievementsLockedDescription/PetColors	Text		Store all color variations of one pet type in a chest	
AchievementsLockedDescription/PetMaxLevel	Text		Reach max level on a pet	
AchievementsLockedDescription/PlantCherryTree	Text		Plant 10 Cherry Trees	
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Text		Sit on a Caveling Toilet while wearing a crown	
AchievementsLockedDescription/StormSong	Text	"Please make sure to find a word for ""tempest"" that doesn't sound the same like ""storm"" in the the title Song of Storms in Zelda Ocarina of Time in the language you want to translate to. For example, in Germany that song is called ""Hymne des Sturms"". In order to not infringe on Nintendos copyright, ""Sturm"" has been replaced by ""Unwetter""."	Play the Tune of Tempest	
AchievementsLockedDescription/TalkToBigLarva	Text		Talk to a Big Larva	
AchievementsUnlockedDescription/CatchStarlightNautilus	Text		Caught a Starlight Nautilus	
AchievementsUnlockedDescription/DefeatAtlanteanWorm	Text		Defeated an Atlantean Worm	
AchievementsUnlockedDescription/DefeatAzeos	Text		Defeated Azeos the Sky Titan	
AchievementsUnlockedDescription/DefeatCoreCommander	Text		Defeated the Core Commander	
AchievementsUnlockedDescription/DefeatCrydra	Text		Defeated Crydra the Ice Titan	
AchievementsUnlockedDescription/DefeatDruidra	Text		Defeated Druidra the Wild Titan	
AchievementsUnlockedDescription/DefeatGhorm	Text		Defeated Ghorm the Devourer	
AchievementsUnlockedDescription/DefeatGlurch	Text		Defeated Glurch the Abominous Mass	
AchievementsUnlockedDescription/DefeatHivemother	Text		Defeated The Hive Mother	
AchievementsUnlockedDescription/DefeatIgneous	Text		Defeated Igneous the Molten Mass	
AchievementsUnlockedDescription/DefeatIvy	Text		Defeated Ivy the Poisonous Mass	
AchievementsUnlockedDescription/DefeatKingSlime	Text		Defeated King Slime	
AchievementsUnlockedDescription/DefeatMalugaz	Text		Defeated Malugaz the Corrupted	
AchievementsUnlockedDescription/DefeatMorpha	Text		Defeated Morpha the Aquatic Mass	
AchievementsUnlockedDescription/DefeatOmoroth	Text		Defeated Omoroth the Sea Titan	
AchievementsUnlockedDescription/DefeatPyrdra	Text		Defeated Pyrdra the Fire Titan	
AchievementsUnlockedDescription/DefeatRaAkar	Text		Defeated Ra-Akar the Sand Titan	
AchievementsUnlockedDescription/DefeatUrschleim	Text		Defeated Urschleim	
AchievementsUnlockedDescription/Discover100CookBookRecipes	Text		Discovered 100 recipes in the cook book	
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Text		Equipped the Ring of Rock and Ring of Stone	
AchievementsUnlockedDescription/FeedCattle	Text		Fed cattle	
AchievementsUnlockedDescription/FirstPet	Text		Hatched your first pet from an egg	
AchievementsUnlockedDescription/GainOver200MovementSpeed	Text		Gained over 200% movement speed	
AchievementsUnlockedDescription/HarvestGoldenIngredient	Text		Harvested a golden plant	
AchievementsUnlockedDescription/KeyArtCharacter	Text		Dressed like a character from the official illustrations	
AchievementsUnlockedDescription/MaxedOutCooking	Text		Gained 100 skill points in cooking	
AchievementsUnlockedDescription/MaxedOutCrafting	Text		Gained 100 skill points in crafting	
AchievementsUnlockedDescription/MaxedOutFishing	Text		Gained 100 skill points in fishing	
AchievementsUnlockedDescription/MaxedOutGardening	Text		Gained 100 skill points in gardening	
AchievementsUnlockedDescription/MaxedOutMagic	Text		Gained 100 skill points in magic	
AchievementsUnlockedDescription/MaxedOutMelee	Text		Gained 100 skill points in melee	
AchievementsUnlockedDescription/MaxedOutMining	Text		Gained 100 skill points in mining	
AchievementsUnlockedDescription/MaxedOutRange	Text		Gained 100 skill points in range	
AchievementsUnlockedDescription/MaxedOutRunning	Text		Gained 100 skill points in running	
AchievementsUnlockedDescription/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Gained 100 skill points in summoning	
AchievementsUnlockedDescription/MaxedOutVitality	Text		Gained 100 skill points in vitality	
AchievementsUnlockedDescription/ObtainPhantomSpark	Text		Obtained Phantom Spark	
AchievementsUnlockedDescription/ObtainRuneSong	Text		Obtained Rune Song	
AchievementsUnlockedDescription/ObtainSoulSeeker	Text		Obtained Soul Seeker	
AchievementsUnlockedDescription/ObtainTheOracleDeck	Text		Obtained the Oracle Card deck	
AchievementsUnlockedDescription/PetColors	Text		Stored all color variations of one pet type in a chest	
AchievementsUnlockedDescription/PetMaxLevel	Text		Reached max level on a pet	
AchievementsUnlockedDescription/PlantCherryTree	Text		Planted 10 Cherry Trees	
AchievementsUnlockedDescription/SitOnCavelingToiletWithACrown	Text		Sat on a Caveling Toilet while wearing a crown	
AchievementsUnlockedDescription/StormSong	Text		Played the Tune of Tempest	
AchievementsUnlockedDescription/TalkToBigLarva	Text		Talked to a Big Larva	
Advanced	Text		Advanced	
AvailableInEarlyAccess	Text		Will be available at Early Access launch	
BetaVersion	Text	{0} will be replaced by the version number	{0} Beta Version	
BiomeNames/Crystal	Text		The Shimmering Frontier	
BiomeNames/Desert	Text		The Desert of Beginnings	
BiomeNames/Great Wall	Text		Great Wall	
BiomeNames/Larva	Text		The Clay Caves	
BiomeNames/Nature	Text		Azeos' Wilderness	
BiomeNames/None	Text		Unknown	
BiomeNames/Obsidian	Text		Unknown	
BiomeNames/Passage	Text		The Passage	
BiomeNames/Sea	Text		The Sunken Sea	
BiomeNames/Slime	Text		The Undergrounds	
BiomeNames/Stone	Text		The Forgotten Ruins	
BreastVanitySlot	Text		Chest vanity slot	
CageCattle	Text		Capture a cattle	
CanBePutIntoEnemySpawnerPlatform	Text	Shown when hovering the slot for Enemy spawners that must contain a figurine to spawn the corresponding enemy of that figurine	Figurine slot	
CanBePutIntoEnemySpawnerPlatformDesc	Text		Putting a non-boss figurine in the slot and powering the Materializer with electricity will create a clone of the enemy represented by the figurine.	
CardinalDirections/East	Text		east	
CardinalDirections/North	Text		north	
CardinalDirections/NorthEast	Text		north east	
CardinalDirections/NorthWest	Text		north west	
CardinalDirections/South	Text		south	
CardinalDirections/SouthEast	Text		south east	
CardinalDirections/SouthWest	Text		south west	
CardinalDirections/Undefined	Text		undefined	
CardinalDirections/West	Text		west	
CasualMode	Text		Casual	
CasualModeDesc	Text		Encounter gentler monsters in a relaxed, enjoyable setting.	
CattleStatus/Full	Text		The animal is very happy, full and producing.	
CattleStatus/FullBaby	Text		The young animal is very happy and full.	
CattleStatus/HungryCattleKelpFood	Text		The animal is hungry for kelp.	
CattleStatus/HungryCattlePlantFood	Text		The animal is hungry for crops.	
CattleStatus/HungryInsect	Text		The animal is hungry for small insects.	
CattleStatus/MediumHungry	Text		The animal is happy, fairly full and producing.	
CattleStatus/MediumHungryBaby	Text		The young animal is happy and fairly full.	
CattleStatus/NameFull	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is very happy, full and producing.	
CattleStatus/NameFullBaby	Text		{0} is very happy and full.	
CattleStatus/NameHungryCattleKelpFood	Text		{0} is hungry for kelp.	
CattleStatus/NameHungryCattlePlantFood	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is hungry for crops.	
CattleStatus/NameHungryInsect	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is hungry for small insects.	
CattleStatus/NameMediumHungry	Text	{0} will be replaced with the name that the player has given to the cattle creature	{0} is happy, fairly full and producing.	
CattleStatus/NameMediumHungryBaby	Text		{0} is happy and fairly full.	
ClassicMode	Text		Classic	
ClassicModeDesc	Text		Support for classic worlds will cease to continue and most 1.0 content will not be accessible. It is strongly recommended to start a world using other modes.	
CombineMaterials	Text		Combine the materials	
ConditionEffect/ApplyBurning	Text		{0} burn damage	
ConditionEffect/ApplyDamageEverySecond	Text		{0} damage every sec	
ConditionEffect/ApplyPoisoned	Text		Poisonous, reduces healing received by 75%	
ConditionEffect/ApplySlowedBySlime	Text		Reduces the target's movement speed by {0}% for 4 sec	
ConditionEffect/Armor	Text		{0} armor	
ConditionEffect/ArmorPercentage	Text		{0}% armor	
ConditionEffect/ChanceOnHitToKnockback	Text		{0}% knockback chance	
ConditionEffect/ChanceToGainExtraCookedFood	Text		{0}% extra cooked food chance	
ConditionEffect/CritChance	Text		{0}% critical hit chance	
ConditionEffect/CriticalDamagePercentage	Text		{0}% critical hit damage	
ConditionEffect/DamageEverySecond	Text		{0} damage every sec	
ConditionEffect/DamageEveryThirdSecond	Text		{0} damage every third sec	
ConditionEffect/DodgeChance	Text		{0}% dodge chance	
ConditionEffect/ExplosivesDamage	Text		{0}% explosives damage	
ConditionEffect/Fishing	Text		{0} fishing	
ConditionEffect/Glowing	Text		{0} glow	
ConditionEffect/HarvestChance	Text		{0}% larger harvests	
ConditionEffect/HealOverTime	Text		{0} health every sec	
ConditionEffect/Health	Text		{0} health	
ConditionEffect/Hunger	Text		{0} food	
ConditionEffect/ImmuneToSlimeSlow	Text		Immune to being slowed by slime	
ConditionEffect/LifeOnHit	Text		{0} life on melee hit	
ConditionEffect/MagicBarrier	Text		{0} magic barrier	
ConditionEffect/ManaRegen	Text		{0} mana every sec	
ConditionEffect/MaxHealth	Text		{0} max health	
ConditionEffect/MaxMana	Text		{0} max mana	
ConditionEffect/MaxMinions	Text		{0} max minion count	
ConditionEffect/MeleeAttackSpeed	Text		{0}% melee speed	
ConditionEffect/MeleeDamage	Text		{0}% melee damage	
ConditionEffect/Mining	Text		{0} mining damage	
ConditionEffect/MiningSpeed	Text		{0}% mining speed	
ConditionEffect/MinionAttackSpeed	Text		{0}% minion attack speed	
ConditionEffect/MinionCritChance	Text		{0}% minion critical hit chance	
ConditionEffect/MinionDamage	Text		{0} minion damage	
ConditionEffect/MinionDamagePercentage	Text		{0}% minion damage	
ConditionEffect/MinionLifespan	Text		{0}% minion lifespan	
ConditionEffect/MovementSpeed	Text		{0}% movement speed	
ConditionEffect/PhysicalMeleeDamage	Text		{0}% physical melee damage	
ConditionEffect/PhysicalRangeDamage	Text		{0}% physical range damage	
ConditionEffect/Poisoned	Text		75% reduced healing received	
ConditionEffect/RangeAttackSpeed	Text		{0}% range speed	
ConditionEffect/RangeDamage	Text		{0}% range damage	
ConditionEffect/ReducedDamageFromBosses	Text		{0}% boss damage reduction	
ConditionEffect/ThornsDamage	Text		{0} thorns damage	
ConditionEffectDesc/ApplyBurning	Text		Applies burning to enemies you deal damage to. The burning effect damages the enemy every other second for {0} damage.	
ConditionEffectDesc/Armor	Text		Reduces damage taken up to a maximum of {0} damage. Enemies always deal a minimum 25% of their damage.	
ConditionEffectDesc/ChanceOnHitToKnockback	Text		Melee attacks have a {0}% chance to knockback enemies.	
ConditionEffectDesc/ChanceToGainExtraCookedFood	Text		Grabbing cooked food from the cooking pot has a {0}% chance to gain an additional cooked food per cooked food grabbed.	
ConditionEffectDesc/CritChance	Text		Attacks have a {0}% chance to deal 50% extra damage.	
ConditionEffectDesc/CriticalDamagePercentage	Text		Deal {0}% more damage on critical hits. Base critical hit damage is 50%.	
ConditionEffectDesc/DodgeChance	Text		{0}% chance to dodge any attack. Maximum dodge chance is 90%.	
ConditionEffectDesc/ExplosivesDamage	Text		Explosives deal {0}% more damage.	
ConditionEffectDesc/Fishing	Text		A higher fishing allows catching fish in higher level areas while also reducing the time for fish to bite in lower level areas.	
ConditionEffectDesc/Glowing	Text		Produces a glow reaching up to {0} tiles away.	
ConditionEffectDesc/HarvestChance	Text		When harvesting, you gain on average {0}% extra plants.	
ConditionEffectDesc/HealOverTime	Text		Gains {0} health every second.	
ConditionEffectDesc/LifeOnHit	Text		Gains {0} health when hitting an enemy with a melee attack.	
ConditionEffectDesc/MagicBarrier	Text		Absorbs up to {0} damage taken. The magic barrier regenerates itself after not taking damage for a while.	
ConditionEffectDesc/ManaRegen	Text		Gains {0} mana every second. Base mana regeneration is 10.0 mana every second.	
ConditionEffectDesc/MaxHealth	Text		Maximum amount of health is {0}.	
ConditionEffectDesc/MaxMana	Text		Maximum amount of mana is {0}.	
ConditionEffectDesc/MaxMinions	Text		You can have up to {0} summoned minions.	
ConditionEffectDesc/MeleeAttackSpeed	Text		You hit {0}% faster with melee weapons.	
ConditionEffectDesc/MeleeDamage	Text		Melee attacks deal {0}.	
ConditionEffectDesc/MeleeDamageFormat	Text	"{0} is replaced with the values and type of damage, i.e physical or magic. So for example:
Melee attacks deal 12-15 magic damage."	Melee attacks deal {0}.	
ConditionEffectDesc/Mining	Text		Deals {0} damage to walls and objects that require mining to be destroyed.	
ConditionEffectDesc/MiningSpeed	Text		You hit {0}% faster with pickaxes.	
ConditionEffectDesc/MinionAttackSpeed	Text		Minions attack {0}% faster.	
ConditionEffectDesc/MinionCritChance	Text		Minion attacks have a {0}% chance to deal 50% extra damage.	
ConditionEffectDesc/MinionDamagePercentage	Text		Minions deal {0}% more damage.	
ConditionEffectDesc/MinionLifespan	Text		Minions last for {0}% longer before despawning.	
ConditionEffectDesc/MovementSpeed	Text		Moves at {0}% of base movement speed.	
ConditionEffectDesc/RangeAttackSpeed	Text		You shoot {0}% faster with range weapons.	
ConditionEffectDesc/RangeDamage	Text		Ranged attacks deal {0}.	
ConditionEffectDesc/RangeDamageFormat	Text		Range attacks deal {0}.	
ConditionEffectDesc/ReducedDamageFromBosses	Text		Reduces damage taken from bosses by {0}%.	
ConditionEffectDesc/ThornsDamage	Text		Melee attackers take {0} damage when attacking.	
Conditions/AcidDamage	Text		{0} acid damage every sec, ignores armor	
Conditions/AdditionalChanceOnCritToSpawnThunderBeam	Text		{0}% additional chance to trigger Azeos' soul power	
Conditions/AdditionalChanceOnHitToSpawnScarabBossProjectile	Text		{0}% additional chance to trigger Ra-Akar's soul power	
Conditions/AdditionalChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% additional chance to trigger Omoroth's soul power	
Conditions/AllDamageIncrease	Text		{0}% damage	
Conditions/ApplyBurning	Text		{0} burn damage applied on hit	
Conditions/ApplyPetAttackSpeedIncrease	Text		{0}% attack speed for your pet	
Conditions/ApplyPetBuffsIncrease	Text		{0}% effectiveness of your pets talent effects	
Conditions/ApplyPetCritChanceIncrease	Text		{0}% critical hit chance for your pet	
Conditions/ApplyPetCritDamageIncrease	Text		{0}% critical hit damage for your pet	
Conditions/ApplyPetDamageIncrease	Text		{0}% damage dealt by your pet	
Conditions/ApplySlipperyMovementWhenHit	Text		Melee attackers become slippery when attacking you	
Conditions/ApplySlowedBySlime	Text		Reduces the target's movement speed by {0}% for 4 sec	
Conditions/ApplySnare	Text		Ensnare	
Conditions/ArmorIncrease	Text	"Text shown on gear stat or buff, for example ""+45 armor"" where {0} is replaced with the number"	{0} armor	
Conditions/ArmorIncreaseFromMovementSpeed	Text		{0}% armor of current movement speed increase	
Conditions/ArmorPercentageIncrease	Text		{0}% armor	
Conditions/AttackSpeed	Text		{0}% melee and range attack speed	
Conditions/AuraApplyBurning	Text		All nearby enemies burn for {0} damage every other sec	
Conditions/AuraApplyDamageDecrease	Text		{0}% damage dealt by all nearby enemies	
Conditions/AuraApplyDamageIncrease	Text		{0}% damage dealt by you and all nearby allies	
Conditions/AuraApplyHealingOverTime	Text		{0} health every sec to you and all nearby allies	
Conditions/AuraApplyMovementSpeedDecrease	Text		Any nearby enemies movement speed is reduced by {0}%	
Conditions/AuraApplyRadioactiveDamageOverTime	Text		All nearby enemies take {0} radioactive damage every other sec	
Conditions/AuraMovementSpeedDecrease	Text		{0}% movement speed from a nearby aura	
Conditions/AuraRadioactiveDamageOverTime	Text		{0} radioactive damage every other sec	
Conditions/AuraVoidDamagePercentageOverTime	Text		{0}% of health as void damage every  sec	
Conditions/BlueGlow	Text	"Description for items that make player glow when eating it. For example ""+5 glow"" where +5 refers to the intensity/range of the light"	{0} blue glow	
Conditions/Burning	Text		{0} burn damage every other sec	
Conditions/ChanceForAdditionalOre	Text		{0}% chance to gain an additional ore from walls containing ores	
Conditions/ChanceForExtraCookedFoodToBeRare	Text		{0}% chance for additional food gained from cooking to be rare	
Conditions/ChanceForOreOnMiningWall	Text		{0}% chance to gain an ore that is common in the currently mined wall when destroying the wall	
Conditions/ChanceForPolishedJewelry	Text		{0}% chance to gain a polished version of any item crafted at the jewelry workbench	
Conditions/ChanceForRandomLootFromWall	Text		{0}% chance to drop a valuable item from any mined wall	
Conditions/ChanceOnCritToSpawnThunderBeam	Text		{0}% chance to spawn a thunder beam on melee critical hits	
Conditions/ChanceOnHitToApplySlipperyMovement	Text		{0}% chance on hit to apply slippery movement	
Conditions/ChanceOnHitToGainMeleeAttackSpeed	Text		{0}% chance on melee hit to increase melee attack speed by 50% for a short duration	
Conditions/ChanceOnHitToIncreaseRangeDamage	Text		{0}% chance on melee hit to increase range damage by 30%	
Conditions/ChanceOnHitToKillTargetWithLowerHealth	Text		{0}% chance on hit to kill any target that has lower health than you	
Conditions/ChanceOnHitToKnockback	Text		{0}% knockback chance	
Conditions/ChanceOnHitToSpawnScarabBossProjectile	Text		{0}% chance on melee or range hit to spawn an ancient projectile that follows the hit target and deals damage on impact	
Conditions/ChanceOnKillToSummonGhost	Text		{0}% chance to summon a ghost caveling when killing any enemy	
Conditions/ChanceOnMeleeHitToStun	Text		{0}% chance to stun targets on melee hit	
Conditions/ChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% chance on range hit to spawn a tornado	
Conditions/ChanceOnRangeShotToApplySlowedBySlime	Text		20% chance to slow down target by {0}% on ranged hit	
Conditions/ChanceOnRangeShotToStun	Text		{0}% chance to stun targets on ranged hit	
Conditions/ChanceOnShotToGainCriticalHitChance	Text		{0}% chance on ranged hit to increase critical hit chance by 100% for a short duration	
Conditions/ChanceOnShotToIncreaseMeleeDamage	Text		{0}% chance on ranged hit to increase melee damage by 30%	
Conditions/ChanceToAddRandomConditionOnHit	Text		High chance to apply a random condition on hit	
Conditions/ChanceToApplyCharmed	Text		Charm the target for 20 sec	
Conditions/ChanceToApplyPoisonOnBlock	Text		{0}% chance to apply poison when blocking melee hits, reduces enemy healing received by 75%	
Conditions/ChanceToApplyPoisoned	Text		{0}% chance to apply poison on hit, reduces enemy healing received by 75%	
Conditions/ChanceToConsumeBurning	Text		{0}% chance on hit to consume target's burning effect and deal the total burning damage immediately	
Conditions/ChanceToDealTripleDamage	Text		{0}% chance on hit to deal triple amount of damage	
Conditions/ChanceToGainExtraCookedFood	Text		{0}% extra cooked food chance	
Conditions/ChanceToGainExtraItemFromAlchemy	Text		{0}% chance to gain an extra item when crafting any item at the alchemy table or distillery	
Conditions/ChanceToGainExtraItemFromBaseBuilding	Text		{0}% chance to gain an extra item when crafting any wall, floor, bridge or fence	
Conditions/ChanceToGainRarePlant	Text		{0}% chance that plants planted by you become golden	
Conditions/ChanceToGetDoubleFish	Text		{0}% chance to get double fish when catching a fish	
Conditions/ChanceToNotConsumeWaterCan	Text		{0}% chance to not consume water when using water can	
Conditions/ChanceToPreserveBait	Text		{0}% chance bait will not be consumed when catching a fish	
Conditions/ChanceToRestoreHealthOnMeleeHit	Text		10% chance on melee hit to restore {0}% health	
Conditions/ChanceToShootShockWaveOnBlock	Text		{0}% chance on block to release energy shockwaves dealing damage equal to what was blocked	
Conditions/CheatDeath	Text		{0}% chance to restore a bit of health instead of dying when taking lethal damage	
Conditions/CritChance	Text		{0}% critical hit chance	
Conditions/CritDamageIncreaseAgainstBurning	Text		{0}% critical hit damage against burning targets	
Conditions/CriticalDamagePercentageIncrease	Text		{0}% critical hit damage	
Conditions/DamageIncreaseAgainstBurning	Text		{0}% damage against burning targets	
Conditions/DamageIncreaseAgainstPoisoned	Text		{0}% damage against poisoned targets	
Conditions/DamageIncreaseAgainstStunned	Text		{0}% damage against stunned targets	
Conditions/DamageIncreaseFromRunning	Text		{0}% damage from running	
Conditions/DealAoeFireDamageOnBlock	Text		Deals {0} damage to all nearby enemies when blocking with the shield	
Conditions/DiggingIncrease	Text		{0} digging damage	
Conditions/DodgeChance	Text		{0}% dodge chance	
Conditions/DodgeIncreaseFromStandingStill	Text		{0} % dodge chance from standing still	
Conditions/DrainLessHunger	Text		{0}% less food drained when running	
Conditions/DurabilityIncreaseAfterMiningOre	Text		Gain {0} durability on your tool, when breaking walls containing ores	
Conditions/EquipmentDurabilityLastsLonger	Text		{0}% chance to not lose durability on equipment when taking damage	
Conditions/ExtraHarvestChance	Text		{0}% larger harvests	
Conditions/FishBitesFaster	Text		Fish (and other things) bite {0}% faster	
Conditions/FishStartsCloserToBeReeledIn	Text		Fish starts {0}% closer to be reeled in	
Conditions/GainArmorAtLowHealth	Text		{0}% armor while at low health	
Conditions/GainAttackSpeedBoostAfterDodge	Text		{0}% melee and range attack speed for a short duration after dodging	
Conditions/GainAttackSpeedFromMissingHealth	Text		Attack speed is increased by 0.2% for every percentage of missing health	
Conditions/GainCriticalHitChanceFromStandingStill	Text		{0}% critical hit chance after standing still for a short duration	
Conditions/GainDamageIncreaseAfterMining	Text		{0}% damage for a short duration after mining a wall	
Conditions/GainDamageIncreaseAtLowHealth	Text		{0}% damage while at low health	
Conditions/GainDamageIncreaseAtMaxHealth	Text		{0}% damage while at max health	
Conditions/GainDamageIncreaseFromRunning	Text		{0}% damage after consistently running for a short duration	
Conditions/GainDodgeIncreaseWhileStandingStill	Text		{0}% dodge chance after standing still for a short duration	
Conditions/GainExtraIndustryItems	Text		{0} extra items gained when crafting rails, wires or conveyor belts.	
Conditions/GainHealthRegenWhileBelowHalfHealth	Text		Gain {0} health every sec while below half max health	
Conditions/GainIncreasedBossDamageFromEatingFish	Text		{0}% damage against bosses after eating fish or cooked food made out of fish	
Conditions/GainIncreasedMaxHealthFromAllSkillPoints	Text		{0}% of all skill points added to max health	
Conditions/GainIncreasedMaxHealthFromPet	Text		{0}% health when a pet is equipped	
Conditions/GainMagicDamagePercentageBoostAfterCrit	Text		{0}% magic damage for a short duration on critical hit	
Conditions/GainManaPercentageOnCrit	Text		{0}% mana recovered on critical hit	
